                                       Name,                      VariableName,  n, residual,  R^2,     RMSD,      %,          MSD,          SB,        SDSD,          LCS
              BaxtersSowing14OctPopulation2,ExtraVariables.Script.AccumTtemerg,  8,    0.000,1.000,    0.003,  0.000,        0.000,       0.000,       0.000,        0.000
              BaxtersSowing14OctPopulation2,               Potato.Leaf.Live.Wt,  8,  -28.479,0.867,   32.807, 34.118,     1076.275,     811.070,       0.595,      264.611
              BaxtersSowing14OctPopulation2,               Potato.Stem.Live.Wt,  8,  -48.247,0.868,   55.889, 40.572,     3123.528,    2327.794,     428.112,      367.621
              BaxtersSowing14OctPopulation2,              Potato.Tuber.Live.Wt,  9, -123.876,0.980,  178.018, 21.382,    31690.425,   15345.197,   10271.036,     6074.192
              BaxtersSowing14OctPopulation2,                   Potato.Leaf.LAI,  8,   -1.007,0.863,    1.126, 39.931,        1.268,       1.014,       0.030,        0.224
              BaxtersSowing14OctPopulation2,          Potato.Leaf.SpecificArea,  8,-2006.960,0.053, 3080.493, 10.711,  9489437.533, 4027890.331, 1191028.633,  4270518.568
              BaxtersSowing14OctPopulation2,              Potato.Tuber.LiveFWt,  9, -330.048,0.997,  375.645, 10.313,   141109.132,  108931.585,   18428.460,    13749.088
              BaxtersSowing14OctPopulation4,ExtraVariables.Script.AccumTtemerg,  8,    0.000,1.000,    0.003,  0.000,        0.000,       0.000,       0.000,        0.000
              BaxtersSowing14OctPopulation4,               Potato.Leaf.Live.Wt,  8,  -27.723,0.858,   32.539, 33.308,     1058.763,     768.583,       4.422,      285.758
              BaxtersSowing14OctPopulation4,               Potato.Stem.Live.Wt,  8,   -9.025,0.768,   26.667, 20.409,      711.114,      81.444,      11.138,      618.532
              BaxtersSowing14OctPopulation4,              Potato.Tuber.Live.Wt,  9,  -58.553,0.985,   98.252, 10.675,     9653.519,    3428.437,    1036.848,     5188.233
              BaxtersSowing14OctPopulation4,                   Potato.Leaf.LAI,  8,   -0.908,0.743,    1.177, 38.581,        1.386,       0.824,       0.011,        0.550
              BaxtersSowing14OctPopulation4,          Potato.Leaf.SpecificArea,  8,-1158.849,0.150, 3002.019,  9.669,  9012116.993, 1342931.252, 1651863.244,  6017322.496
              BaxtersSowing14OctPopulation4,              Potato.Tuber.LiveFWt,  9,  255.243,0.974,  497.731, 13.095,   247736.245,   65149.123,   35600.062,   146987.060
              BaxtersSowing23NovPopulation2,ExtraVariables.Script.AccumTtemerg,  8,    0.000,1.000,    0.003,  0.000,        0.000,       0.000,       0.000,        0.000
              BaxtersSowing23NovPopulation2,               Potato.Leaf.Live.Wt,  7,  -39.443,0.902,   42.049, 49.128,     1768.110,    1555.782,      95.940,      116.388
              BaxtersSowing23NovPopulation2,               Potato.Stem.Live.Wt,  7,  -66.648,0.349,   82.242, 56.391,     6763.745,    4441.971,    1207.912,     1113.861
              BaxtersSowing23NovPopulation2,              Potato.Tuber.Live.Wt,  8,    9.536,0.968,   72.363, 10.844,     5236.372,      90.926,      95.322,     5050.124
              BaxtersSowing23NovPopulation2,                   Potato.Leaf.LAI,  7,   -1.308,0.870,    1.437, 53.785,        2.064,       1.711,       0.192,        0.161
              BaxtersSowing23NovPopulation2,          Potato.Leaf.SpecificArea,  7,-1403.452,0.870, 1905.721,  6.226,  3631773.006, 1969678.728, 1150445.998,   511648.279
              BaxtersSowing23NovPopulation2,              Potato.Tuber.LiveFWt,  8,  120.762,0.947,  416.215, 13.833,   173234.980,   14583.540,    1915.711,   156735.729
              BaxtersSowing23NovPopulation4,ExtraVariables.Script.AccumTtemerg,  8,    0.000,1.000,    0.003,  0.000,        0.000,       0.000,       0.000,        0.000
              BaxtersSowing23NovPopulation4,               Potato.Leaf.Live.Wt,  7,  -43.089,0.784,   47.155, 45.598,     2223.636,    1856.629,       7.489,      359.518
              BaxtersSowing23NovPopulation4,               Potato.Stem.Live.Wt,  7,  -90.406,0.791,   99.621, 54.438,     9924.425,    8173.312,    1521.210,      229.904
              BaxtersSowing23NovPopulation4,              Potato.Tuber.Live.Wt,  8, -180.669,0.849,  343.327, 35.621,   117873.583,   32641.203,   40407.659,    44824.721
              BaxtersSowing23NovPopulation4,                   Potato.Leaf.LAI,  7,   -1.563,0.742,    1.703, 50.545,        2.901,       2.444,       0.004,        0.454
              BaxtersSowing23NovPopulation4,          Potato.Leaf.SpecificArea,  7,-2571.981,0.817, 2884.839,  8.874,  8322293.367, 6615084.747,  715926.498,   991282.122
              BaxtersSowing23NovPopulation4,              Potato.Tuber.LiveFWt,  8, -593.907,0.842, 1320.923, 31.281,  1744836.640,  352725.227,  538183.935,   853927.478
               BaxtersSowing2NovPopulation2,ExtraVariables.Script.AccumTtemerg,  8,    0.001,1.000,    0.003,  0.000,        0.000,       0.000,       0.000,        0.000
               BaxtersSowing2NovPopulation2,               Potato.Leaf.Live.Wt,  7,  -28.559,0.956,   29.581, 32.218,      875.061,     815.638,       2.184,       57.240
               BaxtersSowing2NovPopulation2,               Potato.Stem.Live.Wt,  7,  -51.240,0.610,   62.252, 45.538,     3875.283,    2625.569,     380.172,      869.542
               BaxtersSowing2NovPopulation2,              Potato.Tuber.Live.Wt,  8,   43.592,0.964,  105.375, 15.910,    11103.960,    1900.260,     787.634,     8416.066
               BaxtersSowing2NovPopulation2,                   Potato.Leaf.LAI,  7,   -0.886,0.937,    0.927, 34.545,        0.859,       0.785,       0.003,        0.071
               BaxtersSowing2NovPopulation2,          Potato.Leaf.SpecificArea,  7, -961.115,0.365, 1838.080,  6.312,  3378538.124,  923742.619,   42855.812,  2411939.693
               BaxtersSowing2NovPopulation2,              Potato.Tuber.LiveFWt,  8,  370.144,0.973,  520.588, 17.832,   271011.603,  137006.925,   29786.165,   104218.513
               BaxtersSowing2NovPopulation4,ExtraVariables.Script.AccumTtemerg,  8,    0.001,1.000,    0.003,  0.000,        0.000,       0.000,       0.000,        0.000
               BaxtersSowing2NovPopulation4,               Potato.Leaf.Live.Wt,  7,  -38.103,0.847,   40.762, 38.524,     1661.566,    1451.814,      10.397,      199.354
               BaxtersSowing2NovPopulation4,               Potato.Stem.Live.Wt,  7,  -61.807,0.881,   69.289, 42.049,     4800.956,    3820.099,     738.899,      241.958
               BaxtersSowing2NovPopulation4,              Potato.Tuber.Live.Wt,  8,  -52.034,0.926,  183.357, 21.246,    33619.796,    2707.579,    8280.053,    22632.164
               BaxtersSowing2NovPopulation4,                   Potato.Leaf.LAI,  7,   -1.289,0.785,    1.398, 41.761,        1.954,       1.661,       0.014,        0.278
               BaxtersSowing2NovPopulation4,          Potato.Leaf.SpecificArea,  7,-1678.553,0.278, 2604.149,  8.216,  6781591.736, 2817540.641,  425804.527,  3538246.568
               BaxtersSowing2NovPopulation4,              Potato.Tuber.LiveFWt,  8,   -5.975,0.916,  696.542, 18.294,   485170.577,      35.699,   37271.647,   447863.230
Combined ExtraVariables.Script.AccumTtemerg,ExtraVariables.Script.AccumTtemerg,161,   -0.001,1.000,    0.003,  0.000,        0.000,       0.000,       0.000,        0.000
                   Combined Potato.Leaf.LAI,                   Potato.Leaf.LAI,146,   -0.471,0.780,    0.921, 33.119,        0.848,       0.222,       0.000,        0.625
               Combined Potato.Leaf.Live.Wt,               Potato.Leaf.Live.Wt,195,  -26.778,0.653,   44.063, 47.112,     1941.559,     717.067,      71.928,     1152.565
          Combined Potato.Leaf.SpecificArea,          Potato.Leaf.SpecificArea,146,  279.793,0.004, 6522.821, 22.509, 42547191.314,   78284.162,    1081.202, 42467825.949
                Combined Potato.Stem.Live.N,                Potato.Stem.Live.N,105,   -0.085,0.210,    1.611, 66.138,        2.595,       0.007,       0.356,        2.232
               Combined Potato.Stem.Live.Wt,               Potato.Stem.Live.Wt,204,  -25.643,0.248,   84.423, 67.769,     7127.303,     657.538,    1847.060,     4622.704
               Combined Potato.Tuber.Live.N,               Potato.Tuber.Live.N,145,    0.984,0.955,    2.223, 21.104,        4.941,       0.969,       0.787,        3.185
              Combined Potato.Tuber.Live.Wt,              Potato.Tuber.Live.Wt,250,  -13.615,0.942,  145.501, 19.404,    21170.430,     185.377,     295.253,    20689.800
              Combined Potato.Tuber.LiveFWt,              Potato.Tuber.LiveFWt,214,   12.238,0.955,  603.752, 16.633,   364516.207,     149.757,       2.959,   364363.491
                               FSPNitrogen0,ExtraVariables.Script.AccumTtemerg,  5,   -0.005,1.000,    0.005,  0.001,        0.000,       0.000,       0.000,        0.000
                               FSPNitrogen0,              Potato.Tuber.Live.Wt,  5,   20.595,0.945,   46.903, 38.373,     2199.905,     424.170,    1059.283,      716.452
                               FSPNitrogen0,               Potato.Tuber.Live.N,  4,   -0.659,0.993,    0.794, 40.563,        0.630,       0.434,       0.190,        0.007
                               FSPNitrogen0,              Potato.Tuber.LiveFWt,  4,  218.708,0.925,  351.748, 44.152,   123726.840,   47833.302,   54319.555,    21573.983
                             FSPNitrogen242,ExtraVariables.Script.AccumTtemerg,  5,   -0.005,1.000,    0.005,  0.001,        0.000,       0.000,       0.000,        0.000
                             FSPNitrogen242,              Potato.Tuber.Live.Wt,  5,  -17.639,0.898,   75.642, 31.664,     5721.694,     311.145,     265.788,     5144.761
                             FSPNitrogen242,               Potato.Tuber.Live.N,  4,   -0.593,0.952,    1.047, 18.125,        1.096,       0.352,       0.001,        0.743
                             FSPNitrogen242,              Potato.Tuber.LiveFWt,  4, -170.521,0.835,  529.159, 30.539,   280009.201,   29077.253,   20195.325,   230736.623
                             FSPNitrogen350,ExtraVariables.Script.AccumTtemerg,  5,   -0.005,1.000,    0.005,  0.001,        0.000,       0.000,       0.000,        0.000
                             FSPNitrogen350,              Potato.Tuber.Live.Wt,  5,  -12.289,0.939,   58.243, 24.939,     3392.265,     151.027,     159.081,     3082.157
                             FSPNitrogen350,               Potato.Tuber.Live.N,  4,   -0.726,0.987,    0.948, 16.042,        0.898,       0.526,       0.157,        0.215
                             FSPNitrogen350,              Potato.Tuber.LiveFWt,  4, -113.231,0.908,  394.636, 23.554,   155737.195,   12821.156,   13369.009,   129547.030
